date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2023-11-23,5551.36,5551.36,0,23.0,0.7352,23.96,20.15,22.15,ST人福,600079
2023-11-24,5551.36,5551.36,0,22.88,0.7149,23.96,20.18,22.15,ST人福,600079
2023-11-27,5551.36,5551.36,0,23.4,0.7212,23.96,21.83,22.15,ST人福,600079
2023-11-28,5551.36,5551.36,0,25.33,0.8231,23.96,21.99,22.15,ST人福,600079
2023-11-29,5551.36,5551.36,0,24.35,0.8554,25.83,21.99,22.15,ST人福,600079
2023-11-30,5551.36,5551.36,0,25.69,0.8877,25.83,22.07,22.15,ST人福,600079
2023-12-01,5551.36,5551.36,0,25.63,0.8698,25.85,22.07,22.15,ST人福,600079
2023-12-04,5551.36,5551.36,0,25.29,0.8768,25.85,22.15,22.57,ST人福,600079
2023-12-05,5551.36,5551.36,0,25.94,0.8975,26.07,22.15,22.63,ST人福,600079
2023-12-06,5551.36,5551.36,0,25.82,0.8806,26.43,22.15,22.63,ST人福,600079
2023-12-07,5551.36,5551.36,0,25.55,0.8636,26.43,22.15,22.72,ST人福,600079
2023-12-08,5551.36,5551.36,0,25.5,0.8479,26.43,22.15,22.72,ST人福,600079
2023-12-11,5551.36,5551.36,0,25.7,0.829,26.43,22.15,22.73,ST人福,600079
2023-12-12,5551.36,5551.36,0,25.44,0.8145,26.43,22.15,23.07,ST人福,600079
2023-12-13,5551.36,5551.36,0,25.37,0.7938,26.43,22.15,24.1,ST人福,600079
2023-12-14,5551.36,5551.36,0,25.22,0.7881,26.43,22.15,24.38,ST人福,600079
2023-12-15,5551.36,5551.36,0,24.82,0.7827,26.43,22.15,25.06,ST人福,600079
2023-12-18,5551.36,5551.36,0,25.06,0.7956,26.43,22.57,24.68,ST人福,600079
2023-12-19,5551.36,5551.36,0,24.87,0.7808,26.43,22.63,24.68,ST人福,600079
2023-12-20,5551.36,5551.36,0,24.65,0.7653,26.43,22.63,24.63,ST人福,600079
2023-12-21,5551.36,5551.36,0,24.75,0.7605,26.43,22.72,24.59,ST人福,600079
2023-12-22,5551.36,5551.36,0,24.17,0.7685,26.43,22.72,24.38,ST人福,600079
2023-12-25,5551.36,5551.36,0,24.72,0.7645,26.43,22.73,24.07,ST人福,600079
2023-12-26,5551.36,5551.36,0,23.91,0.7743,26.43,23.07,24.07,ST人福,600079
2023-12-27,5551.36,5551.36,0,23.9,0.7551,26.43,23.76,23.76,ST人福,600079
2023-12-28,5551.36,5551.36,0,23.32,0.7543,26.43,23.67,23.67,ST人福,600079
2023-12-29,5551.36,5551.36,0,23.93,0.7606,26.43,23.25,23.25,ST人福,600079
2024-01-02,5551.36,5551.36,0,23.95,0.7566,26.43,23.25,23.25,ST人福,600079
2024-01-03,5551.36,5551.36,0,24.59,0.7623,26.43,23.25,23.25,ST人福,600079
2024-01-04,5551.36,5551.36,0,24.15,0.7677,26.07,23.25,23.25,ST人福,600079
2024-01-05,5551.36,5551.36,0,23.22,0.7908,25.85,23.25,23.25,ST人福,600079
2024-01-08,5551.36,5551.36,0,22.73,0.7772,25.85,23.05,23.05,ST人福,600079
2024-01-09,5551.36,5551.36,0,23.05,0.7734,25.85,22.72,22.72,ST人福,600079
2024-01-10,5551.36,5551.36,0,22.59,0.7672,25.85,22.54,22.54,ST人福,600079
2024-01-11,5551.36,5551.36,0,22.35,0.7553,25.75,22.4,22.4,ST人福,600079
2024-01-12,5551.36,5551.36,0,22.41,0.7441,25.75,22.22,22.22,ST人福,600079
2024-01-15,5551.36,5551.36,0,22.83,0.7544,25.72,22.22,22.22,ST人福,600079
2024-01-16,5551.36,5551.36,0,22.67,0.7432,25.72,22.22,22.22,ST人福,600079
2024-01-17,5551.36,5551.36,0,21.94,0.7545,25.13,22.22,22.22,ST人福,600079
2024-01-18,5551.36,5551.36,0,21.87,0.7518,25.06,21.94,21.94,ST人福,600079
2024-01-19,5551.36,5551.36,0,21.59,0.7337,25.05,21.25,21.25,ST人福,600079
2024-01-22,5551.36,5551.36,0,19.99,0.789,24.99,21.25,21.25,ST人福,600079
2024-01-23,5551.36,5551.36,0,20.45,0.7925,24.82,19.86,19.86,ST人福,600079
2024-01-24,5551.36,5551.36,0,20.22,0.8149,24.82,19.86,19.86,ST人福,600079
2024-01-25,5551.36,5551.36,0,21.28,0.8497,24.82,19.57,19.57,ST人福,600079
2024-01-26,5551.36,5551.36,0,20.48,0.8517,24.82,19.57,19.57,ST人福,600079
2024-01-29,5551.36,5551.36,0,20.37,0.8326,24.82,19.57,19.57,ST人福,600079
2024-01-30,5551.36,5551.36,0,20.08,0.817,24.82,19.57,19.57,ST人福,600079
2024-01-31,5551.36,5551.36,0,19.24,0.8256,24.82,19.57,19.57,ST人福,600079
2024-02-01,5551.36,5551.36,0,18.75,0.8728,24.82,19.17,19.17,ST人福,600079
2024-02-02,5551.36,5551.36,0,17.83,0.9242,24.28,17.6,17.6,ST人福,600079
2024-02-05,5551.36,5551.36,0,17.78,0.9545,23.24,17.07,17.07,ST人福,600079
2024-02-06,5551.36,5551.36,0,19.65,1.0103,23.24,16.92,16.92,ST人福,600079
2024-02-07,5551.36,5551.36,0,20.75,1.0303,23.23,16.92,16.92,ST人福,600079
2024-02-08,5551.36,5551.36,0,20.96,1.0522,23.23,16.92,16.92,ST人福,600079
2024-02-19,5551.36,5551.36,0,20.98,1.0441,23.23,16.92,16.92,ST人福,600079
2024-02-20,5551.36,5551.36,0,20.71,1.0219,23.23,16.92,16.92,ST人福,600079
2024-02-21,5551.36,5551.36,0,20.49,1.0073,22.95,16.92,16.92,ST人福,600079
2024-02-22,5551.36,5551.36,0,20.5,0.976,22.91,16.92,16.92,ST人福,600079
2024-02-23,5551.36,5551.36,0,20.26,0.9637,22.05,16.92,16.92,ST人福,600079
2024-02-26,5551.36,5551.36,0,20.78,0.9745,22.05,16.92,16.92,ST人福,600079
2024-02-27,5551.36,5551.36,0,21.06,0.9483,22.05,16.92,16.92,ST人福,600079
