date,symbol,name,open,close,high,low,volume
2019-09-18,00719,新华制药H,3.75,3.75,3.75,3.72,134000.0
2019-09-19,00719,新华制药H,3.7,3.71,3.71,3.65,282000.0
2019-09-20,00719,新华制药H,3.71,3.73,3.74,3.7,76000.0
2019-09-23,00719,新华制药H,3.72,3.7,3.72,3.65,52000.0
2019-09-24,00719,新华制药H,3.69,3.66,3.69,3.61,112000.0
2019-09-25,00719,新华制药H,3.58,3.66,3.66,3.58,52000.0
2019-09-26,00719,新华制药H,3.59,3.67,3.67,3.57,47400.0
2019-09-27,00719,新华制药H,3.57,3.57,3.67,3.57,10000.0
2019-09-30,00719,新华制药H,3.51,3.41,3.51,3.4,72600.0
2019-10-02,00719,新华制药H,3.41,3.41,3.41,3.41,0.0
2019-10-03,00719,新华制药H,3.45,3.44,3.45,3.4,24000.0
2019-10-04,00719,新华制药H,3.44,3.35,3.44,3.33,312000.0
2019-10-08,00719,新华制药H,3.41,3.52,3.56,3.41,472400.0
2019-10-09,00719,新华制药H,3.48,3.49,3.49,3.48,38000.0
2019-10-10,00719,新华制药H,3.43,3.57,3.57,3.43,78800.0
2019-10-11,00719,新华制药H,3.57,3.62,3.62,3.49,224000.0
2019-10-14,00719,新华制药H,3.62,3.62,3.62,3.59,103000.0
2019-10-15,00719,新华制药H,3.56,3.63,3.63,3.56,152000.0
2019-10-16,00719,新华制药H,3.62,3.65,3.65,3.61,178400.0
2019-10-17,00719,新华制药H,3.65,3.64,3.65,3.58,70000.0
2019-10-18,00719,新华制药H,3.64,3.61,3.64,3.53,109000.0
2019-10-21,00719,新华制药H,3.61,3.59,3.61,3.51,50000.0
2019-10-22,00719,新华制药H,3.55,3.59,3.59,3.52,66000.0
2019-10-23,00719,新华制药H,3.56,3.59,3.59,3.55,32000.0
2019-10-24,00719,新华制药H,3.52,3.6,3.6,3.5,31800.0
2019-10-25,00719,新华制药H,3.6,3.55,3.6,3.5,231000.0
2019-10-28,00719,新华制药H,3.55,3.6,3.65,3.52,340000.0
2019-10-29,00719,新华制药H,3.62,3.67,3.69,3.62,352000.0
2019-10-30,00719,新华制药H,3.63,3.66,3.66,3.56,8546000.0
2019-10-31,00719,新华制药H,3.66,3.66,3.66,3.62,54000.0
2019-11-01,00719,新华制药H,3.77,3.74,3.77,3.68,194000.0
2019-11-04,00719,新华制药H,3.79,3.77,3.81,3.72,68400.0
2019-11-05,00719,新华制药H,3.75,3.71,3.76,3.65,245600.0
2019-11-06,00719,新华制药H,3.73,3.82,3.99,3.73,929000.0
2019-11-07,00719,新华制药H,3.85,3.82,3.89,3.82,203000.0
2019-11-08,00719,新华制药H,3.85,3.86,3.93,3.78,86000.0
2019-11-11,00719,新华制药H,3.86,3.75,3.86,3.66,68000.0
2019-11-12,00719,新华制药H,3.79,3.76,3.8,3.71,86000.0
2019-11-13,00719,新华制药H,3.73,3.76,3.8,3.7,123000.0
2019-11-14,00719,新华制药H,3.7,3.74,3.75,3.6,100000.0
2019-11-15,00719,新华制药H,3.77,3.76,3.77,3.72,13200.0
2019-11-18,00719,新华制药H,3.71,3.77,3.77,3.7,126600.0
2019-11-19,00719,新华制药H,3.77,3.76,3.77,3.72,64000.0
2019-11-20,00719,新华制药H,3.76,3.76,3.76,3.67,31200.0
2019-11-21,00719,新华制药H,3.65,3.75,3.76,3.6,402600.0
2019-11-22,00719,新华制药H,3.7,3.76,3.76,3.7,111400.0
2019-11-25,00719,新华制药H,3.65,3.76,3.76,3.65,98600.0
2019-11-26,00719,新华制药H,3.7,3.73,3.73,3.64,108000.0
2019-11-27,00719,新华制药H,3.7,3.75,3.75,3.67,16000.0
2019-11-28,00719,新华制药H,3.72,3.73,3.74,3.66,195600.0
2019-11-29,00719,新华制药H,3.65,3.76,3.77,3.65,476400.0
2019-12-02,00719,新华制药H,3.8,3.72,3.8,3.65,118000.0
2019-12-03,00719,新华制药H,3.72,3.76,3.78,3.69,96600.0
2019-12-04,00719,新华制药H,3.68,3.7,3.75,3.67,458600.0
2019-12-05,00719,新华制药H,3.7,3.71,3.73,3.66,95200.0
2019-12-06,00719,新华制药H,3.66,3.73,3.79,3.66,418000.0
2019-12-09,00719,新华制药H,3.76,3.77,3.79,3.7,170000.0
2019-12-10,00719,新华制药H,3.71,3.68,3.78,3.68,180000.0
2019-12-11,00719,新华制药H,3.75,3.75,3.77,3.69,150800.0
2019-12-12,00719,新华制药H,3.7,3.69,3.73,3.69,110000.0
2019-12-13,00719,新华制药H,3.7,3.74,3.75,3.7,204600.0
2019-12-16,00719,新华制药H,3.71,3.71,3.77,3.68,367000.0
2019-12-17,00719,新华制药H,3.69,3.73,3.78,3.69,890000.0
2019-12-18,00719,新华制药H,3.74,3.77,3.77,3.73,288200.0
2019-12-19,00719,新华制药H,3.75,3.8,3.81,3.72,367600.0
2019-12-20,00719,新华制药H,3.83,3.8,3.83,3.75,18000.0
2019-12-23,00719,新华制药H,3.8,3.78,3.82,3.74,113200.0
2019-12-24,00719,新华制药H,3.73,3.79,3.79,3.73,46000.0
2019-12-27,00719,新华制药H,3.73,3.75,3.79,3.7,1416000.0
2019-12-30,00719,新华制药H,3.76,3.77,3.77,3.74,404000.0
2019-12-31,00719,新华制药H,3.75,3.82,3.83,3.73,359800.0
2020-01-02,00719,新华制药H,3.82,3.88,3.88,3.78,1108000.0
2020-01-03,00719,新华制药H,3.88,3.93,3.93,3.88,612000.0
